City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Mezen,RU,65.8522,44.24,11.71,93,100,10.09,overcast clouds
53,East London,ZA,-33.0153,27.9116,70.74,94,0,4.61,clear sky
54,Sete,FR,43.4018,3.6966,51.84,75,100,27.78,overcast clouds
55,Awjilah,LY,29.1081,21.2869,55.51,32,1,6.87,clear sky
56,New Norfolk,AU,-42.7826,147.0587,79.66,28,0,1.99,clear sky
57,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,10.36,broken clouds
58,Sile,TR,41.1754,29.6133,45.57,61,37,4,scattered clouds
59,Bluff,NZ,-46.6,168.3333,60.8,66,0,13.38,clear sky
60,Fort-Shevchenko,KZ,44.5086,50.263,36.01,95,91,17.31,overcast clouds
61,Atambua,ID,-9.1061,124.8925,83.93,67,18,4.97,few clouds
62,Chapais,CA,49.7834,-74.8492,4.78,95,100,5.53,light snow
63,Rikitea,PF,-23.1203,-134.9692,79.02,72,16,18.75,few clouds
64,Shwebo,MM,22.5667,95.7,66.6,40,11,4.56,few clouds
65,Imeni Poliny Osipenko,RU,52.4201,136.4853,6.4,86,100,2.48,overcast clouds
66,Hami,CN,42.8,93.45,27,33,67,7.27,broken clouds
67,Chokurdakh,RU,70.6333,147.9167,-39.73,99,79,3.85,broken clouds
68,Banjar,ID,-8.19,114.9675,87.66,73,100,6.4,overcast clouds
69,Fortuna,US,40.5982,-124.1573,48.18,90,0,2.91,clear sky
70,Souillac,MU,-20.5167,57.5167,79.36,84,100,9.95,overcast clouds
71,Hermanus,ZA,-34.4187,19.2345,66.79,92,66,4.25,broken clouds
72,Mandera,KE,3.9366,41.867,73.02,46,99,3.02,overcast clouds
73,Nikolskoye,RU,59.7035,30.7861,36.88,97,100,6.98,overcast clouds
74,Vyartsilya,RU,62.1764,30.693,29.84,97,100,9.48,snow
75,Baikunthpur,IN,23.25,82.55,61.12,26,0,0.85,clear sky
76,Dali,CN,25.7,100.1833,47.34,48,1,2.04,clear sky
77,Herat,AF,34.5,62,38.25,67,0,5.57,clear sky
78,Middelburg,ZA,-25.7751,29.4648,56.1,90,57,8.19,broken clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,67.51,73,20,0,few clouds
80,Mitsamiouli,KM,-11.3847,43.2844,81.64,80,74,11.5,light rain
81,Severo-Kurilsk,RU,50.6789,156.125,31.5,83,100,10.07,overcast clouds
82,Jiangyou,CN,31.7667,104.7167,38.41,97,100,2.62,overcast clouds
83,Camacha,PT,33.0833,-16.3333,59.76,63,75,16.11,broken clouds
84,Severnyy,RU,50.677,36.5532,32.04,80,0,8.95,light snow
85,Najran,SA,17.4924,44.1277,48.85,59,32,3.18,scattered clouds
86,Avera,US,33.194,-82.5271,41.76,54,99,6.71,light rain
87,Svetlogorsk,BY,52.6333,29.7333,32.04,97,100,14.99,overcast clouds
88,Atar,MR,20.5169,-13.0499,69.08,11,0,5.88,clear sky
89,Athabasca,CA,54.7169,-113.2854,44.29,68,59,13.29,broken clouds
